SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.31,1296.35,275.565,-0.060000000000000005,10.0,0.94,0.31,64.5,1.0,-3.2230241900000003,1.0,1450.0,102.0,122.0,2.0,0.0,135.0,-3.181433225,12.45,35.83
0.6425000000000001,1145.62,295.65,0.225,5.0,0.635,0.641,68.5,1.0,-3.71303897,3.0,1250.0,97.25,81.65,2.5,0.0,133.5,-3.646537205,12.155000000000001,32.6385
0.2565,1347.55,312.46500000000003,0.02,10.0,0.79,0.257,65.0,1.0,-3.445173715,1.0,1250.0,101.15,170.52,2.5,0.0,134.5,-3.4136700500000003,13.075,18.415
0.2535,951.085,239.75,-1.5150000000000001,10.0,0.88,0.2535,75.0,0.5,-3.82717461,2.0,3750.0,79.0,114.15,3.5,0.0,144.0,-3.76913551,12.353,31.194499999999998
0.3085,975.995,200.185,0.0825,10.0,0.84,0.308,67.0,0.5,-2.2464145225,0.5,1400.0,93.0,59.15,2.0,0.0,141.5,-2.19161316,9.905,37.155
0.403,1562.885,336.9,0.10250000000000001,8.5,0.69,0.403,61.0,0.5,-5.3805219824999995,2.0,2100.0,166.0,94.15,2.5,0.8420186,125.5,-5.3114869250000005,14.899999999999999,35.165
0.41700000000000004,1768.885,320.0,-0.005,7.5,0.675,0.41700000000000004,56.5,0.5,-6.5931856799999995,3.5,2800.0,191.5,91.15,4.0,0.0,128.0,-6.57384743,17.3,33.894999999999996
0.41700000000000004,1584.385,325.0,0.005,8.0,0.64,0.41700000000000004,59.5,0.5,-5.9830695899999995,2.5,1450.0,167.5,71.15,4.0,1.0553314,125.5,-5.96418582,13.705,33.7405
0.378,830.34,278.28,-0.45375,10.0,0.675,0.379,69.0,0.5,-3.34645506125,3.0,1700.0,67.5,73.65,2.5,0.0,130.0,-3.31063902,9.5925,33.769999999999996
0.35250000000000004,1284.585,317.4,-2.0875,10.0,0.63,0.35250000000000004,71.5,1.0,-4.1483471825,2.5,1700.0,119.5,119.15,3.0,0.0,120.0,-3.960626085,25.27,35.525
0.2625,1931.885,480.785,-0.16,6.0,0.78,0.2645,54.5,0.5,-6.8174770774999995,4.5,2050.0,131.5,59.15,3.0,0.0,142.0,-6.70876832,20.4,30.075
0.2625,796.045,179.9,-1.4487931035000001,10.0,0.875,0.2625,67.5,0.5,-1.965380191207,0.5,2300.0,73.0,59.15,2.0,0.0,139.0,-1.90135912,7.9475,35.516
0.309,893.76,263.4175,0.09000000000000001,10.0,0.765,0.309,69.5,0.5,-3.17372839,3.0,1750.0,69.0,73.65,2.5,0.0,140.5,-3.1483962,8.4455,32.43
0.2575,2048.385,432.04,0.215,8.5,0.6799999999999999,0.258,62.0,1.0,-6.2645831350000005,2.0,5300.0,328.5,134.15,2.5,0.24154275,131.0,-5.935021425,27.36,18.415
0.7025,1140.385,214.05,0.0,5.0,0.725,0.704,66.0,0.5,-2.611463565,0.5,1000.0,84.2,-55.85,2.0,0.0,143.0,-2.578279055,11.04,58.4865
0.4325,1438.385,260.12,0.0162068965,7.5,0.7,0.432,58.0,0.5,-6.35061003517,3.0,1650.0,161.0,59.15,4.5,0.40928645,129.0,-6.25664902,13.254999999999999,35.2485
0.3175,2126.885,445.45,0.005,7.5,0.6599999999999999,0.318,57.0,0.5,-7.263381295,3.5,3400.0,223.0,107.15,4.0,0.0,132.5,-7.244497525,25.54,31.994999999999997
0.325,2053.885,495.3,0.005,7.0,0.685,0.325,55.5,0.5,-6.886988175000001,4.0,5150.0,114.0,107.15,3.5,0.0,134.5,-6.868104405,21.8,30.935
0.4145,1542.885,339.0,0.01,9.0,0.71,0.4145,62.5,1.0,-4.613489695,1.5,1500.0,166.0,114.65,2.5,0.0322836,126.0,-4.54101316,15.54,36.0
0.2575,2331.885,464.05,0.25,8.0,0.6799999999999999,0.2575,60.5,0.5,-7.450679405000001,2.5,5300.0,337.0,114.15,5.0,0.0,130.5,-6.98762647,35.725,18.415
0.257,979.19,239.2,-0.09,10.0,0.96,0.2575,72.5,1.0,-3.654842215,2.5,1650.0,72.0,114.15,3.0,0.0,150.0,-3.612830925,9.187,34.3865
0.3145,1592.9099999999999,346.9,0.034999999999999996,10.0,0.685,0.3145,63.0,1.0,-4.409214695,0.5,4750.0,125.5,89.15,3.0,0.0,134.0,-4.36695009,15.169999999999998,34.879999999999995
0.2575,1699.585,405.475,0.030000000000000002,9.5,0.6799999999999999,0.259,63.5,1.0,-4.85458225,1.5,5300.0,149.5,161.8,3.0,0.0,132.5,-4.784012635,17.8875,18.415
0.261,2408.385,503.8,0.0775,7.5,0.63,0.261,59.0,0.5,-8.0488412925,3.0,2400.0,292.5,66.15,4.5,0.0,131.5,-7.872332665,23.84,18.415
0.3135,1797.385,397.945,0.155,9.0,0.7,0.314,61.5,1.0,-5.46715017,2.0,4750.0,227.0,119.15,4.0,0.18517845,129.0,-5.276435595000001,20.095,33.945
0.3115,1982.385,434.135,0.20500000000000002,8.5,0.675,0.3115,60.0,0.5,-6.437644195000001,2.5,4750.0,277.0,114.15,5.0,2.865e-05,130.0,-6.10690983,26.095000000000002,32.65
0.5475,873.065,155.25,-5.0784375,5.0,0.51,0.5465,76.0,0.5,-3.888935769375,1.5,1250.0,71.5,159.35999999999999,4.0,0.0,114.5,-3.322838215,7.6605,35.83
0.296,1130.775,184.235,-2.23,10.0,0.745,0.296,74.5,0.5,-3.89900858,2.0,2450.0,95.5,109.65,3.5,0.0,140.5,-3.766401205,16.695,31.064999999999998
